date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:18:41	183740/183740	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:18:11%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=pri	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equiposb4b7.html	(from http://www.beisbolcubano.cu/general/calendario)
15:18:42	12088/12088	U-----	200	untouched ('')	image/png	etag:%22c4503aec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/art.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/art.png	(from http://www.beisbolcubano.cu/general/calendario)
15:18:42	183745/183745	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:18:13%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=ijv	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos27c8.html	(from http://www.beisbolcubano.cu/general/calendario)
15:18:42	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:18:17%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=may	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.ef34b.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:18:42	183734/183734	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:18:15%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=art	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos2379.html	(from http://www.beisbolcubano.cu/general/calendario)
15:18:43	14251/14251	U-----	200	untouched ('')	image/png	etag:%2237d881ec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/may.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/may.png	(from http://www.beisbolcubano.cu/general/calendario)
15:18:43	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:18:18%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=ind	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.106ed1.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:18:44	9767/9767	U-----	200	untouched ('')	image/png	etag:%2233616cec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/ind.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/ind.png	(from http://www.beisbolcubano.cu/general/calendario)
15:18:44	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:18:18%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=mtz	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.127e6e.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:18:46	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:18:20%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=cfg	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.14eee8.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:18:46	183735/183735	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:18:18%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=may	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equiposf34b.html	(from http://www.beisbolcubano.cu/general/calendario)
15:18:48	13620/13620	U-----	200	untouched ('')	image/png	etag:%22eb9c86ec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/mtz.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/mtz.png	(from http://www.beisbolcubano.cu/general/calendario)
15:18:48	183738/183738	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:18:18%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=ind	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos6ed1.html	(from http://www.beisbolcubano.cu/general/calendario)
15:18:50	5802/5802	U-----	200	untouched ('')	image/png	etag:%2298db43ec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/cfg.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/cfg.png	(from http://www.beisbolcubano.cu/general/calendario)
15:18:50	183734/183734	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:18:20%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=mtz	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos7e6e.html	(from http://www.beisbolcubano.cu/general/calendario)
15:18:50	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:18:24%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=vcl	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.1605bc.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:18:50	183736/183736	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:18:22%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=cfg	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equiposeee8.html	(from http://www.beisbolcubano.cu/general/calendario)
15:18:50	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:18:26%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=ssp	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.18675a.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:18:50	14273/14273	U-----	200	untouched ('')	image/png	etag:%226c4cb6ec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/vcl.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/vcl.png	(from http://www.beisbolcubano.cu/general/calendario)
15:18:52	10332/10332	U-----	200	untouched ('')	image/png	etag:%22a860aaec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/ssp.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/ssp.png	(from http://www.beisbolcubano.cu/general/calendario)
15:18:52	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:18:26%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=cav	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.1aab30.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:18:54	7681/7681	U-----	200	untouched ('')	image/png	etag:%2273153fec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/cav.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/cav.png	(from http://www.beisbolcubano.cu/general/calendario)
15:18:54	183737/183737	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:18:26%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=vcl	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos05bc.html	(from http://www.beisbolcubano.cu/general/calendario)
15:18:56	183742/183742	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:18:26%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=ssp	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos675a.html	(from http://www.beisbolcubano.cu/general/calendario)
