date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:09:33	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:09:09%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=art	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.112379.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:09:36	183734/183734	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:09:09%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=art	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos2379.html	(from http://www.beisbolcubano.cu/general/calendario)
15:09:36	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:09:12%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=may	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.14f34b.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:09:38	12088/12088	---M--	200	added ('OK')	image/png	etag:%22c4503aec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/art.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/art.png	(from http://www.beisbolcubano.cu/general/calendario)
15:09:39	183735/183735	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:09:12%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=may	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equiposf34b.html	(from http://www.beisbolcubano.cu/general/calendario)
15:09:39	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:09:15%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=ind	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.176ed1.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:09:39	14251/14251	---M--	200	added ('OK')	image/png	etag:%2237d881ec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/may.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/may.png	(from http://www.beisbolcubano.cu/general/calendario)
15:09:42	183738/183738	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:09:15%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=ind	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos6ed1.html	(from http://www.beisbolcubano.cu/general/calendario)
15:09:42	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:09:18%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=mtz	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.1a7e6e.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:09:44	9767/9767	---M--	200	added ('OK')	image/png	etag:%2233616cec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/ind.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/ind.png	(from http://www.beisbolcubano.cu/general/calendario)
15:09:44	183734/183734	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Jan%202021%2018:09:18%20GMT	http://www.beisbolcubano.cu/general/equipos?eq=mtz	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos7e6e.html	(from http://www.beisbolcubano.cu/general/calendario)
15:09:44	140/140	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20Jan%202021%2018:09:20%20GMT	http://www.beisbolcubano.cu/general/equipos.aspx?eq=cfg	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/general/equipos.1deee8.delayed	(from http://www.beisbolcubano.cu/general/calendario)
15:09:47	13620/13620	---M--	200	added ('OK')	image/png	etag:%22eb9c86ec0ccd61:0%22	http://www.beisbolcubano.cu/images/logos/100%20x%20100/mtz.png	C:/Users/yfigueroa/Downloads/SN2020_2021/SN2020_2021/www.beisbolcubano.cu/images/logos/100%20x%20100/mtz.png	(from http://www.beisbolcubano.cu/general/calendario)
